fromBundle,cardinality,toBundle
pflegeversicherung.ui,135,crm-kontaktauswahl.ui
hilfsmittelversorgung.ui,101,crm-kontaktauswahl.ui
behandlerverzeichnis.ui,36,crm-kontaktauswahl.ui
zahnersatz-components.ui,10,crm-kontaktauswahl.ui
diseasemanagement.ui,17,crm-kontaktauswahl.ui
mdkverzeichnis.ui,16,crm-kontaktauswahl.ui
versorgungsangebot.ui,23,crm-kontaktauswahl.ui
fv-meldungen.ui,6,crm-kontaktauswahl.ui
kim-log.ui.impl,12,crm-kontaktauswahl.ui
entsendung.ui,52,crm-kontaktauswahl.ui
zahnersatz.ui,43,crm-kontaktauswahl.ui
insolvenzmanagement.biz,18,sozv-meldungen.biz
unfall.biz,26,sozv-meldungen.biz
neuaufnahmemanager.ui,4,sozv-meldungen.biz
arbeitgeberbeitrag.biz,9,sozv-meldungen.biz
kinderkrankengeld.biz,8,sozv-meldungen.biz
eel.ui,7,sozv-meldungen.biz
vertrieb.biz.qs,60,sozv-meldungen.biz
rente.biz,3,sozv-meldungen.biz
sozv-meldungen.ui,4876,sozv-meldungen.biz
meinetk.web.qs,4,sozv-meldungen.biz
unfall.ui,30,sozv-meldungen.biz
sozv-meldungen.ui.qs,134,sozv-meldungen.biz
arbeitgeberbestandsfuehrung.ui,10,sozv-meldungen.biz
kur.biz.qs,67,sozv-meldungen.biz
neuaufnahmemanager.biz.qs,4,sozv-meldungen.biz
erv.biz.qs,1,sozv-meldungen.biz
pflegeunterstuetzungsgeld.biz,9,sozv-meldungen.biz
datenaustausch-finanzverwaltung.ui,1,sozv-meldungen.biz
fv-meldungen.biz,4,sozv-meldungen.biz
arbeitsunfaehigkeit.biz,88,sozv-meldungen.biz
sozialausgleich-meldungen.ui,6,sozv-meldungen.biz
schulung,13,sozv-meldungen.biz
sozialversicherungsabkommen.biz,1,sozv-meldungen.biz
datenaustausch-eel.biz.impl,1,sozv-meldungen.biz
sozialausgleich-meldungen.biz.qs,824,sozv-meldungen.biz
insolvenzmanagement.ui,24,sozv-meldungen.biz
eel.biz.qs,7,sozv-meldungen.biz
arbeitsunfaehigkeit.ui,1,sozv-meldungen.biz
vertrieb.biz,89,sozv-meldungen.biz
kvnr-meldungen.biz.qs,79,sozv-meldungen.biz
vertriebspartner.biz,1,sozv-meldungen.biz
einstufungsverlauf.biz.qs,1,sozv-meldungen.biz
arbeitsunfaehigkeit.biz.qs,61,sozv-meldungen.biz
arbeitgeberbestandsfuehrung-uebergreifend.biz,26,sozv-meldungen.biz
kur.biz,33,sozv-meldungen.biz
unfall.ui.qs,11,sozv-meldungen.biz
mutterschaftsgeld.biz.qs,27,sozv-meldungen.biz
unfall.biz.qs,83,sozv-meldungen.biz
pflegeversicherung.ui,9,sozv-meldungen.biz
leistung-uebergreifend.biz,3,sozv-meldungen.biz
sozv-meldungen.biz.qs,20830,sozv-meldungen.biz
sozialausgleich-meldungen.biz,501,sozv-meldungen.biz
versichertenbestandsfuehrung.biz.qs,13,sozv-meldungen.biz
kassenwechselmeldungen.biz.qs,38,sozv-meldungen.biz
vertriebspartner.biz.qs,3,sozv-meldungen.biz
meinetk.web,12,sozv-meldungen.biz
pflegeversicherung.biz.impl,217,sozv-meldungen.biz
neuaufnahmemanager.biz,33,sozv-meldungen.biz
eel.biz,84,sozv-meldungen.biz
tk.qs.sys.boi.test,6,sozv-meldungen.biz
mutterschaftsgeld.biz,52,sozv-meldungen.biz
optimization,1,sozv-meldungen.biz
hzv.biz.qs,4,sozv-meldungen.biz
zusatzvertrag-batch.biz,82,sozv-meldungen.biz
entsendung.ui,1,sozv-meldungen.biz
tk.sys.util,3,micrometer-registry-influx
einstufungsverlauf.biz,248,korrespondenz-basis.biz
korrespondenz.biz.api,13,korrespondenz-basis.biz
da-aerzte-kollektiv.biz,38,korrespondenz-basis.biz
leistungen-basis.ui,61,korrespondenz-basis.biz
apothekenabrechnung.biz,96,korrespondenz-basis.biz
studienverlauf.ui,160,korrespondenz-basis.biz
korrespondenz.ui.qs,262,korrespondenz-basis.biz
insolvenzmanagement.biz,220,korrespondenz-basis.biz
crm-components.ui,31,korrespondenz-basis.biz
selvteilnahme.ui,89,korrespondenz-basis.biz
einstufungsverlauf.ui.qs,86,korrespondenz-basis.biz
schriftgut-archiv.biz,2,korrespondenz-basis.biz
praeventionskurs.ui,1,korrespondenz-basis.biz
unfall.biz,273,korrespondenz-basis.biz
neuaufnahmemanager.ui,80,korrespondenz-basis.biz
arbeitgeberbestandsfuehrung.biz,99,korrespondenz-basis.biz
rsa-clearing.ui,37,korrespondenz-basis.biz
abr-sonst-leistungserbringer.biz.impl,20,korrespondenz-basis.biz
psychotherapie.biz.qs,37,korrespondenz-basis.biz
zuzahlung.biz,44,korrespondenz-basis.biz
erv.ui.impl,7,korrespondenz-basis.biz
arbeitgeberbeitrag.biz,354,korrespondenz-basis.biz
haertefall.proc,22,korrespondenz-basis.biz
selvteilnahme.biz,11,korrespondenz-basis.biz
kinderkrankengeld.biz,12,korrespondenz-basis.biz
sozialhilfetraeger-abrechnung.biz.qs,48,korrespondenz-basis.biz
vollmacht.biz.impl,24,korrespondenz-basis.biz
arbeitgeberbeitrag.ui,127,korrespondenz-basis.biz
studienverlauf.biz.qs,27,korrespondenz-basis.biz
eel.ui,8,korrespondenz-basis.biz
zahnersatz.proc,14,korrespondenz-basis.biz
akquise.biz.impl,183,korrespondenz-basis.biz
dokumentenaufnahme.biz.qs,3,korrespondenz-basis.biz
entsendung.biz.qs,21,korrespondenz-basis.biz
schriftgut-archiv.biz.qs,4,korrespondenz-basis.biz
korrespondenz.biz,2676,korrespondenz-basis.biz
krankenhausaufenthalt.ui.qs,4,korrespondenz-basis.biz
mandatsakte.biz,9,korrespondenz-basis.biz
kinderkrankengeld.ui,5,korrespondenz-basis.biz
haeusliche-krankenpflege.biz,138,korrespondenz-basis.biz
apothekenabrechnung.biz.qs,29,korrespondenz-basis.biz
leistungsuebersicht.ui.impl,20,korrespondenz-basis.biz
da-aerzte-kollektiv.ui,9,korrespondenz-basis.biz
meinetk.biz,77,korrespondenz-basis.biz
leistungsuebersicht.biz,18,korrespondenz-basis.biz
hzv.biz,63,korrespondenz-basis.biz
studienverlauf.biz,74,korrespondenz-basis.biz
gesundheitskarte.biz.qs,382,korrespondenz-basis.biz
chroniker.biz,19,korrespondenz-basis.biz
da-zahnaerzte.ui,13,korrespondenz-basis.biz
pzr.biz.impl,12,korrespondenz-basis.biz
einstufungsverlauf.ui,259,korrespondenz-basis.biz
versichertenbestandsfuehrung.ui,585,korrespondenz-basis.biz
testdaten-korrespondenz.biz,2,korrespondenz-basis.biz
leistungen-basis.biz,22,korrespondenz-basis.biz
arbeitgeberbestandsfuehrung.biz.qs,12,korrespondenz-basis.biz
rente.biz,44,korrespondenz-basis.biz
crm.biz,142,korrespondenz-basis.biz
sozv-meldungen.ui,181,korrespondenz-basis.biz
vorgang-components.ui,10,korrespondenz-basis.biz
entsendung.ui.qs,3,korrespondenz-basis.biz
arbeitgeberleistung.ui,16,korrespondenz-basis.biz
meinetk.web.qs,10,korrespondenz-basis.biz
korrespondenz.biz.qs,2886,korrespondenz-basis.biz
widerspruch.ui,45,korrespondenz-basis.biz
meinetk.ui,21,korrespondenz-basis.biz
korrespondenz-basis.biz.qs,412,korrespondenz-basis.biz
datenaustausch-eessi.biz,52,korrespondenz-basis.biz
arbeitgeberleistung.biz,11,korrespondenz-basis.biz
kostenerstattungswahl.ui,6,korrespondenz-basis.biz
unfall.ui,85,korrespondenz-basis.biz
kostenerstattung.ui,8,korrespondenz-basis.biz
diga.ui,11,korrespondenz-basis.biz
korrespondenzpartner.biz.qs,6,korrespondenz-basis.biz
kur.ui.qs,9,korrespondenz-basis.biz
fahrkosten.proc,5,korrespondenz-basis.biz
korrespondenz.proc.qs,5,korrespondenz-basis.biz
pflegeperson.biz.impl,10,korrespondenz-basis.biz
arbeitgeberbestandsfuehrung.ui,79,korrespondenz-basis.biz
datenaustausch-eel.ui,9,korrespondenz-basis.biz
leistungsmanagement.ui,21,korrespondenz-basis.biz
korrespondenz.proc,6,korrespondenz-basis.biz
diseasemanagement.ui.qs,2,korrespondenz-basis.biz
arbeitgeberleistung-antrag-suche.ui,7,korrespondenz-basis.biz
zusatzvertrag.biz,58,korrespondenz-basis.biz
versorgungsbezug-meldungen.ui,25,korrespondenz-basis.biz
leistungsuebersicht.biz.impl,18,korrespondenz-basis.biz
fahrkosten.biz.impl,14,korrespondenz-basis.biz
medizinproduktregress.ui.impl,2,korrespondenz-basis.biz
korrespondenz.ui.api,17,korrespondenz-basis.biz
chroniker.ui,2,korrespondenz-basis.biz
gesundheitsprojekte.ui,11,korrespondenz-basis.biz
beitragserstattung-aus-rente.ui,7,korrespondenz-basis.biz
erv.biz.api,1,korrespondenz-basis.biz
da-zahnaerzte.biz,13,korrespondenz-basis.biz
seminarverwaltung.ui,23,korrespondenz-basis.biz
krankenhausaufenthalt.ui,109,korrespondenz-basis.biz
gesundheitsprojekte.biz,8,korrespondenz-basis.biz
mutterschaftsgeld.ui,5,korrespondenz-basis.biz
praevention.ui,8,korrespondenz-basis.biz
vertriebspartner.ui.impl,10,korrespondenz-basis.biz
dokumentenarchiv.ui,45,korrespondenz-basis.biz
leistungsrueckforderung.ui,142,korrespondenz-basis.biz
fahrkosten.ui.impl,31,korrespondenz-basis.biz
gesundheitskarte.ui,67,korrespondenz-basis.biz
crm.ui,170,korrespondenz-basis.biz
versorgungsabrechnung.ui.impl,5,korrespondenz-basis.biz
leistungsmanagement.biz,14,korrespondenz-basis.biz
sozialhilfetraeger.ui,76,korrespondenz-basis.biz
duebak-meldungen.ui,21,korrespondenz-basis.biz
kieferorthopaedie.biz,111,korrespondenz-basis.biz
bonusprogramm.biz,17,korrespondenz-basis.biz
kur.biz.qs,6,korrespondenz-basis.biz
haeusliche-krankenpflege.ui,50,korrespondenz-basis.biz
versorgungsbezug-meldungen.biz,2,korrespondenz-basis.biz
arbeitgeberbestandsfuehrung.ui.qs,47,korrespondenz-basis.biz
mitteilungsmanagement.biz.qs,13,korrespondenz-basis.biz
haushaltshilfe.ui,12,korrespondenz-basis.biz
widerspruch.biz.qs,240,korrespondenz-basis.biz
hzv.ui,27,korrespondenz-basis.biz
erv.biz.qs,12,korrespondenz-basis.biz
seminarverwaltung.ui.qs,17,korrespondenz-basis.biz
proko-schriftgut-beispiel.ui.impl,1,korrespondenz-basis.biz
datenaustausch-finanzverwaltung.ui,39,korrespondenz-basis.biz
haertefall.biz,147,korrespondenz-basis.biz
kostenerstattungswahl.biz,9,korrespondenz-basis.biz
gesundheitskarte.biz,72,korrespondenz-basis.biz
prozess.ui.qs,12,korrespondenz-basis.biz
organisationsverwaltung-uebergreifend.biz,9,korrespondenz-basis.biz
interessent-pflege.biz,12,korrespondenz-basis.biz
arbeitsunfaehigkeit.biz,239,korrespondenz-basis.biz
diseasemanagement.biz,16,korrespondenz-basis.biz
haertefall.ui.qs,14,korrespondenz-basis.biz
korrespondenz-vorlagen.generiert,26514,korrespondenz-basis.biz
haushaltshilfe.biz.qs,5,korrespondenz-basis.biz
leistungsrueckforderung.biz,39,korrespondenz-basis.biz
tkkonto.ui,511,korrespondenz-basis.biz
sonst-leistungsrueckforderung.biz.impl,9,korrespondenz-basis.biz
korrespondenz.ui,1445,korrespondenz-basis.biz
da-aerzte-kollektiv.ui.qs,3,korrespondenz-basis.biz
einstufungsverlauf.proc,19,korrespondenz-basis.biz
bonusprogramm.ui,35,korrespondenz-basis.biz
konfigurierbare-leistung.biz,11,korrespondenz-basis.biz
kassenwechselmeldungen.biz.impl,8,korrespondenz-basis.biz
sozialversicherungsabkommen.biz,15,korrespondenz-basis.biz
datenaustausch-eel.biz.impl,6,korrespondenz-basis.biz
haertefall.proc.qs,41,korrespondenz-basis.biz
schriftgut-archiv.ui,2,korrespondenz-basis.biz
geschaeftspartner.biz.qs,8,korrespondenz-basis.biz
tkkonto.biz,82,korrespondenz-basis.biz
korrespondenz-uebergreifend.biz,76,korrespondenz-basis.biz
mitteilungsmanagement.biz,5,korrespondenz-basis.biz
diga.biz,38,korrespondenz-basis.biz
leistung-uebergreifend.biz.qs,2,korrespondenz-basis.biz
diseasemanagement.biz.qs,34,korrespondenz-basis.biz
korrespondenz.ext.outbound.qs,335,korrespondenz-basis.biz
eu-datenschutzgrundverordnung.ui,2,korrespondenz-basis.biz
insolvenzmanagement.ui,138,korrespondenz-basis.biz
meinetk.biz.qs,18,korrespondenz-basis.biz
haeusliche-krankenpflege.ui.qs,1,korrespondenz-basis.biz
vertrieb.ui,46,korrespondenz-basis.biz
zuzahlung.ui,27,korrespondenz-basis.biz
haertefall.ui,30,korrespondenz-basis.biz
haushaltshilfe.biz,43,korrespondenz-basis.biz
sonstige-leistung.biz,410,korrespondenz-basis.biz
dokumentenaufnahme-uebergreifend.biz,10,korrespondenz-basis.biz
einstufungsverlauf.proc.qs,1,korrespondenz-basis.biz
mitgliederbeitrag.biz.qs,24,korrespondenz-basis.biz
leistungsuebersicht.ui,7,korrespondenz-basis.biz
zusatzvertrag.ui,157,korrespondenz-basis.biz
pflegeunterstuetzungsgeld.ui,39,korrespondenz-basis.biz
versichertenbestandsfuehrung.biz,480,korrespondenz-basis.biz
mitgliederbeitrag.ui,74,korrespondenz-basis.biz
apotheke.ui,39,korrespondenz-basis.biz
rechnungswesen.biz,20,korrespondenz-basis.biz
gesundheitskarte.ui.qs,128,korrespondenz-basis.biz
hilfsmittelversorgung.biz.qs,3,korrespondenz-basis.biz
kieferorthopaedie.ui,16,korrespondenz-basis.biz
entsendung.biz,21,korrespondenz-basis.biz
korrespondenz-adapter.biz.qs,14,korrespondenz-basis.biz
da-zahnaerzte.biz.qs,6,korrespondenz-basis.biz
rsa-clearing.biz,11,korrespondenz-basis.biz
psychotherapie.ui,13,korrespondenz-basis.biz
arbeitsunfaehigkeit.ui,43,korrespondenz-basis.biz
vertrieb.biz,9,korrespondenz-basis.biz
sonstige-leistung.ui,52,korrespondenz-basis.biz
vorgang-application.ui,9,korrespondenz-basis.biz
akquise.ui.impl,7,korrespondenz-basis.biz
mitteilungsmanagement.ui,12,korrespondenz-basis.biz
korrespondenz-fachbezug.ui,28,korrespondenz-basis.biz
vertriebspartner.biz,13,korrespondenz-basis.biz
sozv-meldungen.biz,118,korrespondenz-basis.biz
mitgliederbeitrag.biz,178,korrespondenz-basis.biz
einstufungsverlauf.biz.qs,41,korrespondenz-basis.biz
zahnersatz.biz,182,korrespondenz-basis.biz
kur.ui,223,korrespondenz-basis.biz
arbeitsunfaehigkeit.biz.qs,102,korrespondenz-basis.biz
datenaustausch-finanzverwaltung.biz,41,korrespondenz-basis.biz
kieferorthopaedie.biz.qs,7,korrespondenz-basis.biz
tk-vorsorge-planer.biz,20,korrespondenz-basis.biz
kur.biz,91,korrespondenz-basis.biz
tkkonto.biz.qs,2,korrespondenz-basis.biz
rente.ui,69,korrespondenz-basis.biz
unfall.ui.qs,7,korrespondenz-basis.biz
mutterschaftsgeld.biz.qs,3,korrespondenz-basis.biz
bonusprogramm.biz.qs,5,korrespondenz-basis.biz
kostenerstattung.biz,54,korrespondenz-basis.biz
pzr.ui.impl,5,korrespondenz-basis.biz
unfall.biz.qs,5,korrespondenz-basis.biz
pflegeversicherung.ui,82,korrespondenz-basis.biz
tk-patientenquittung.biz,13,korrespondenz-basis.biz
hilfsmittelversorgung.ui,13,korrespondenz-basis.biz
behandlerverzeichnis.ui,8,korrespondenz-basis.biz
sozv-meldungen.biz.qs,2,korrespondenz-basis.biz
datenaustausch-eel.biz.qs,2,korrespondenz-basis.biz
versichertenbestandsfuehrung.biz.qs,8,korrespondenz-basis.biz
sozialhilfetraeger-abrechnung.biz,83,korrespondenz-basis.biz
datenaustausch-eessi.ui,27,korrespondenz-basis.biz
sozialversicherungsabkommen.ui,5,korrespondenz-basis.biz
erv.biz.impl,59,korrespondenz-basis.biz
versichertenbestandsfuehrung.ui.qs,18,korrespondenz-basis.biz
vertriebspartner.biz.qs,2,korrespondenz-basis.biz
proko-schriftgut-beispiel.proc,4,korrespondenz-basis.biz
konfigurierbare-leistung.ui,13,korrespondenz-basis.biz
diseasemanagement.ui,90,korrespondenz-basis.biz
mitteilungsmanagement.ui.qs,1,korrespondenz-basis.biz
psychotherapie.biz,128,korrespondenz-basis.biz
tk-patientenquittung.biz.qs,1,korrespondenz-basis.biz
rehasport.proc,18,korrespondenz-basis.biz
meinetk.web,10,korrespondenz-basis.biz
pflegeversicherung.biz.impl,167,korrespondenz-basis.biz
rechnungswesen.ui,19,korrespondenz-basis.biz
neuaufnahmemanager.biz,2,korrespondenz-basis.biz
praevention.biz,6,korrespondenz-basis.biz
eel.biz,96,korrespondenz-basis.biz
rehasport.ui.impl,3,korrespondenz-basis.biz
mutterschaftsgeld.biz,95,korrespondenz-basis.biz
arbeitgeberbeitrag.biz.qs,28,korrespondenz-basis.biz
zusatzvertrag-batch.biz,40,korrespondenz-basis.biz
widerspruch.biz,80,korrespondenz-basis.biz
seminarverwaltung.biz,24,korrespondenz-basis.biz
haeusliche-krankenpflege.biz.qs,140,korrespondenz-basis.biz
krankenhausaufenthalt.biz,28,korrespondenz-basis.biz
gesundheitsprojekte.biz.qs,5,korrespondenz-basis.biz
selvabrechnung.ui,32,korrespondenz-basis.biz
hilfsmittelversorgung.biz,122,korrespondenz-basis.biz
entsendung.ui,29,korrespondenz-basis.biz
zahnersatz.ui,31,korrespondenz-basis.biz
testdaten-korrespondenz.biz,9,testdaten-versicherter.biz
diga.biz.qs,5,testdaten-versicherter.biz
testdaten-versicherter.biz.qs,1159,testdaten-versicherter.biz
testdaten-versicherter.ui,375,testdaten-versicherter.biz
testdaten-pflegeversicherung.biz.impl,18,testdaten-versicherter.biz
datenaustausch-finanzverwaltung.biz.qs,10,versichertenbestandsfuehrung-basis.biz
hzv.ui.qs,7,versichertenbestandsfuehrung-basis.biz
einstufungsverlauf.biz,1582,versichertenbestandsfuehrung-basis.biz
da-aerzte-kollektiv.biz,80,versichertenbestandsfuehrung-basis.biz
leistungen-basis.ui,12,versichertenbestandsfuehrung-basis.biz
hochschul-meldungen.biz,4,versichertenbestandsfuehrung-basis.biz
apothekenabrechnung.biz,54,versichertenbestandsfuehrung-basis.biz
studienverlauf.ui,120,versichertenbestandsfuehrung-basis.biz
insolvenzmanagement.biz,16,versichertenbestandsfuehrung-basis.biz
da-za-leistungsantraege.ui.impl,8,versichertenbestandsfuehrung-basis.biz
zusatzvertrag-extern.biz.qs,143,versichertenbestandsfuehrung-basis.biz
crm-components.ui,116,versichertenbestandsfuehrung-basis.biz
crm-components.ui.qs,2,versichertenbestandsfuehrung-basis.biz
selvteilnahme.ui,28,versichertenbestandsfuehrung-basis.biz
einstufungsverlauf.ui.qs,17,versichertenbestandsfuehrung-basis.biz
da-mitteilungsverfahren-rv.biz.impl,15,versichertenbestandsfuehrung-basis.biz
leistungsuebersicht-impl.biz,2,versichertenbestandsfuehrung-basis.biz
haertefall-components.ui,1,versichertenbestandsfuehrung-basis.biz
schriftgut-archiv.biz,3,versichertenbestandsfuehrung-basis.biz
praeventionskurs.ui,2,versichertenbestandsfuehrung-basis.biz
unfall.biz,119,versichertenbestandsfuehrung-basis.biz
neuaufnahmemanager.ui,21,versichertenbestandsfuehrung-basis.biz
