bundleName,bundleClassification,bundleOrdinal,bundleDepartment,bundleProduct
tk.instrumentation.agent,EXTERNAL,18,Unbekannt,Unbekannt
testdaten-korrespondenz.ui,DEV-APP/UI/TESTDATEN,1387,IT.BA.DOC,Kiss24-TKeasy
mitteilungsmanagement.ui,DEV-APP/UI/APPLICATION,1194,IT.TA.GL,Mitteilungsmanagement
ik-inhaber-verzeichnis.biz.api,DEV-APP/BIZ/BASIS/BASISROLLEN,683,IT.TA.KEGK,Geschaeftspartner
studienverlauf.type,DEV-TYPE,566,IT.TA.KMEL,Studienverlauf
tk.sys.gui.infoframe,DEV-FRAMEWORK/GUI-APPLICATION,447,IT.AF.FRW,Framework GUI
tkeasy.architecture,EXTERNAL,-1,Unbekannt,Unbekannt
leistung-services.sl.biz.api,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG-BASIS,805,IT.TA.LEBQ,Leistung-Services
vorgang.ui.api,DEV-APP/UI/COMPONENT,1104,IT.AF.PIM,Vorgangssystem
proko-schriftgut-beispiel.biz.qs,QS-APP/BIZ,1712,IT.PM.PJ,Prozesskomponente-Schriftgut-Beispiel
pzr.biz.api,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG-BASIS,816,IT.TA.ZED,Professionelle Zahnreinigung
org.apache.felix.gogo.runtime,EXTERNAL,4,Unbekannt,Unbekannt
datenaustausch-finanzverwaltung.ext.inbound.qs,QS-APP/EXTERN,1932,IT.TA.BCRM,Steuerdaten
mitgliederbeitrag.ui.qs,QS-APP/UI,1808,IT.TA.BCRM,Mitgliederbeitrag
praevention.proc.qs,QS-APP/BIZ-TOP,1726,IT.TA.LEBQ,Praevention
versichertenbestandsfuehrung.proc.qs,QS-APP/BIZ-TOP,1731,IT.TA.KEGK,Versichertenbestandsfuehrung
tk.db.generictransaction,DEV-FRAMEWORK/DB,337,IT.AF.FRW,Framework Persistenz
org.eclipse.core.runtime,EXTERNAL,141,Unbekannt,Unbekannt
crm.biz.api,DEV-APP/BIZ/BASIS/INTERAKTION,637,IT.TA.BCRM,CRM
junit-platform-runner,EXTERNAL/JUNIT-JUPITER,274,Unbekannt,Unbekannt
personalisierte-secpruefung.biz,DEV-APP/BIZ/VERZEICHNIS,611,IT.AF.PIM,Dokumentenarchiv und Dokumentenaufnahme
tk.de.web,DEV-APP/WEB/TK.DE,1072,IT.ON.OGP2,tk.de
stoppuhr.biz.qs,QS-APP/BIZ,1456,IT.AF.PEP,Geschaeftsprozess
entsendung.biz.api,DEV-APP/BIZ/PROZESSDATEN/MELDEVERFAHREN,788,IT.TA.KMEL,Entsendung
asm-util,EXTERNAL,27,Unbekannt,Unbekannt
abr-sonst-leistungserbringer.ext.inbound.qs,QS-APP/EXTERN,1930,IT.TA.LEVE,Abrechnungsmanagement Sonstige Leistungserbringer
da-sonstigeleistungserbringer.ui,DEV-APP/UI/APPLICATION,1192,IT.TA.LEVE,DA Sonstige Leistungserbringer
org.eclipse.osgi,EXTERNAL,0,Unbekannt,Unbekannt
tk.sys.gui.process,DEV-FRAMEWORK/GUI-CORE,437,IT.AF.FRW,Framework GUI
tk.sys.gui.mainframe.qs,QS-FRAMEWORK/QS,530,IT.AF.FRW,Framework GUI
org.eclipse.jdt.junit5.runtime,EXTERNAL,181,Unbekannt,Unbekannt
distance-matrix.ext.outbound.qs,QS-APP/EXT-OUTBOUND,1424,IT.TA.LEBQ,Fahrkosten
schnellerfassung.ui.qs,QS-APP/UI,1786,IT.AF.PEP,Geschaeftsprozess
gebuehrenordnung.ui,DEV-APP/UI/APPLICATION,1212,IT.TA.LEBQ,Kostenerstattung
kurverzeichnis.ui,DEV-APP/UI/APPLICATION,1247,IT.TA.LEVE,Kur
tracking-prozesse.biz,DEV-APP/BIZ/UEBERGREIFEND,1019,IT.TA.BCRM,Vorgangstracking
vorgang-crm.biz.api,DEV-APP/BIZ/BASIS/INTERAKTION,649,IT.AF.PIM,Vorgangssystem
jcl-over-slf4j,EXTERNAL,85,Unbekannt,Unbekannt
tk.sys.web,DEV-FRAMEWORK/SERVER-INFRASTRUCTURE,373,IT.AF.FRW,Framework Server
com.sun.xml.bind.jaxb-core,EXTERNAL,99,Unbekannt,Unbekannt
haftpflichtversicherer.biz.api,DEV-APP/BIZ/STAMMDATEN/INSTITUTIONEN,689,IT.TA.LEBQ,Unfall
kv-verzeichnis.ui,DEV-APP/UI/APPLICATION,1373,IT.TA.WAVE,Behandler-Verzeichnis
rvtraeger.ui,DEV-APP/UI/APPLICATION,1261,IT.TA.KMEL,Rente
psychotherapie.ui,DEV-APP/UI/APPLICATION,1321,IT.TA.LEBQ,Psychotherapie
tim.ext.inbound,DEV-APP/EXTERN/INBOUND,1096,IT.AF.PIM,TI-Messenger-Adapter
datenschutzcockpit.ui.api,DEV-APP/UI/APPLICATION,1213,IT.TA.KMEL,Datenschutzcockpit
da-sonstigeleistungserbringer.biz.api,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG,963,IT.TA.LEVE,DA Sonstige Leistungserbringer
leistungssystem.biz.impl,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG-BASIS,810,IT.TA.LEBQ,Leistungssystem
asv-basis.biz.qs,QS-APP/BIZ,1638,IT.TA.LEVE,DA Ambulante spezialfachaerztliche Versorgung
ik-inhaber-verzeichnis.biz.impl,DEV-APP/BIZ/BASIS/BASISROLLEN,685,IT.TA.KEGK,Geschaeftspartner
eel.biz.qs,QS-APP/BIZ,1610,IT.TA.GL,Entgeltersatzleistungen
dokumentenarchiv.biz,DEV-APP/BIZ/BASIS/INTERAKTION,648,IT.AF.PIM,Dokumentenarchiv und Dokumentenaufnahme
da-isd.biz.impl,DEV-APP/BIZ/VERZEICHNIS,609,IT.TA.WAVE,DA Infrastrukturdaten (ISD)
fahrkosten.biz.qs,QS-APP/BIZ,1538,IT.TA.LEBQ,Fahrkosten
korrespondenz-adapter.biz.qs,QS-APP/BIZ,1522,IT.BA.DOC,Kiss24-TKeasy
tk.sys.eai.adapter.rest,DEV-FRAMEWORK/EAI,391,IT.AF.FRW,Framework EAI
entsendung.biz,DEV-APP/BIZ/PROZESSDATEN/MELDEVERFAHREN,790,IT.TA.KMEL,Entsendung
fusionsarchiv-allgemein.ui,DEV-APP/UI/APPLICATION,1254,IT.TA.KEGK,Fusionsarchiv
prozessereignismanager.biz.qs.api,QS-APP/BIZ,1488,IT.AF.PEP,Geschaeftsprozess
datenaustausch-geldleistungen-basis.biz.impl,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG,928,IT.TA.GL,DA Entgeltersatzleistungen
kur.ext.outbound.qs,QS-APP/EXT-OUTBOUND,1429,IT.TA.LEVE,Kur
hilfsmittelversorgung.biz.qs,QS-APP/BIZ,1663,IT.TA.LEBQ,Hilfsmittel
prozess-tutorial.proc.qs,QS-MISC/SCHULUNG/PIF,1951,IT.AF.PEP,Prozess-Tutorial
rechnungswesen.biz,DEV-APP/BIZ/PROZESSDATEN/FINANZEN,747,IT.TA.BCRM,"TKeasy-Rechnungswesen (Vorbeleg, GP-Konto, Forderungsrealisierung)"
kassenwechselmeldungen.ui.impl,DEV-APP/UI/APPLICATION,1296,IT.TA.KMEL,Kassenwechselmeldungen
rente.biz.qs,QS-APP/BIZ,1523,IT.TA.KMEL,Rente
jetty-server,EXTERNAL,150,Unbekannt,Unbekannt
basis.biz,DEV-APP/BIZ/BASIS/STRUKTUR,622,IT.AF.ARC,Anwendungs Infrastruktur
junit-platform-reporting,EXTERNAL/JUNIT-JUPITER,278,Unbekannt,Unbekannt
ems.web,DEV-APP/WEB,1077,IT.ON.ONG,E-Mail Marketing System
ext-eprocurement.ext.forward,DEV-APP/EXT-FORWARD,572,IT.AF.FRW,E-Procurement
tk.sys.eai.adapter.controlm,DEV-FRAMEWORK/EAI,401,IT.AF.FRW,Framework EAI
pflegeunterstuetzungsgeld.ui,DEV-APP/UI/APPLICATION,1313,IT.TA.PV,Pflegeunterstuetzungsgeld
fusionsarchiv-pflegeperson.ui,DEV-APP/UI/APPLICATION,1202,IT.TA.PV,Pflegeversicherung
tk.sys.gui.editpattern.test,QS-INTEGRATIONTEST/GUI,1965,IT.AF.FRW,Integrationstests
org.eclipse.equinox.console,EXTERNAL,3,Unbekannt,Unbekannt
zusatzvertrag.ui,DEV-APP/UI/APPLICATION,1207,IT.TA.WAVE,Wahltarife
de.tk.txfs.core,EXTERNAL,57,Unbekannt,Unbekannt
leistungsuebersicht.ui,DEV-APP/UI/APPLICATION,1301,IT.TA.LEBQ,Leistungsuebersicht
sozialausgleich-meldungen.biz.qs.api,QS-APP/BIZ,1594,IT.TA.KMEL,BBG-Meldungen
einstufungsverlauf.proc.qs,QS-APP/BIZ-TOP,1732,IT.TA.KEGK,Einstufungsverlauf
eu-datenschutzgrundverordnung.ui.qs,QS-APP/UI,1904,IT.TA.KEGK,Versichertenbestandsfuehrung
sonstige-leistung.biz,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG,900,IT.TA.LEBQ,Sonstige Leistungen
type.impl.qs,QS-TYPE,1409,IT.AF.DD,Übergreifende fachliche Typen (biz-type)
haertefall.ui,DEV-APP/UI/APPLICATION,1352,IT.TA.LEBQ,Haertefall - Belastungsgrenze
identitaetsdatenabruf.ext.outbound,DEV-APP/EXT-OUTBOUND,576,IT.TA.KMEL,Identitaetsdatenabruf
vertrieb.ui,DEV-APP/UI/APPLICATION,1241,IT.TA.BCRM,Vertriebsmanagement
crm-vorgang.biz.api,DEV-APP/BIZ/BASIS/INTERAKTION,640,IT.TA.BCRM,CRM
junit-platform-launcher,EXTERNAL/JUNIT-JUPITER,273,Unbekannt,Unbekannt
leistungsrueckforderung.ui.qs,QS-APP/UI,1759,IT.TA.WAVE,Pruefung der Leistungspflicht - PLP
tk.bpm.engine.qs.api,QS-FRAMEWORK/QS,549,IT.AF.PEP,Framework Process
org.apache.felix.log,EXTERNAL,131,Unbekannt,Unbekannt
asv-basis.biz,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG-BASIS,828,IT.TA.LEVE,DA Ambulante spezialfachaerztliche Versorgung
au-steuerung.ext.inbound,DEV-APP/EXTERN/INBOUND,1080,IT.TA.GL,Arbeitsunfaehigkeit-Steuerung
hamcrest-all,EXTERNAL,164,Unbekannt,Unbekannt
crm-type.biz,DEV-APP/BIZ/BASIS/INTERAKTION,635,IT.TA.BCRM,CRM
haeusliche-krankenpflege.ui.qs,QS-APP/UI,1781,IT.TA.LEBQ,Haeusliche Krankenpflege
meinetk.biz.qs,QS-APP/BIZ,1681,IT.ON.ONB1,MeineTK
dokumentenarchiv.ui.qs,QS-APP/UI,1809,IT.AF.PIM,Dokumentenarchiv und Dokumentenaufnahme
haushaltshilfe.ui.qs,QS-APP/UI,1774,IT.TA.GL,Haushaltshilfe
versorgungsamtsbescheid.biz,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG,882,IT.TA.WAVE,Versorgungsamtsbescheid
tk.sys.gui.component.imageviewer.qs,QS-FRAMEWORK/QS,539,IT.AF.FRW,Framework GUI
secon-tool,EXTERNAL,231,Unbekannt,Unbekannt
dividende.biz,DEV-APP/BIZ/PROZESSDATEN/BEITRAG,835,IT.TA.BCRM,Dividendenverlauf
tracking.ui.qs,QS-APP/UI,1865,IT.TA.BCRM,Vorgangstracking
eu-datenschutzgrundverordnung.ui,DEV-APP/UI/APPLICATION,1372,IT.TA.KEGK,Versichertenbestandsfuehrung
medizinproduktregress.ui.qs,QS-APP/UI,1894,IT.TA.LEBQ,Medizinproduktregress
rechtsakte.biz,DEV-APP/BIZ/BASIS/FINANZEN,676,IT.TA.BCRM,"TKeasy-Rechnungswesen (Vorbeleg, GP-Konto, Forderungsrealisierung)"
fusionsarchiv-stammdaten.biz,DEV-APP/BIZ/PROZESSDATEN/FUSIONSARCHIV,758,IT.TA.KEGK,Fusionsarchiv
fv-meldungen.ui.qs,QS-APP/UI,1805,IT.TA.KMEL,FV-Meldungen
tk.tool.passwordmanager,DEV-FRAMEWORK/TOOL,466,IT.AF.FRW,Framework Server
jaxfront-swing,EXTERNAL/JAXFRONT,258,Unbekannt,Unbekannt
mitgliederbeitrag.biz.api,DEV-APP/BIZ/PROZESSDATEN/MELDEVERFAHREN,768,IT.TA.BCRM,Mitgliederbeitrag
tk.sys.services.ecsarchive.qs,QS-FRAMEWORK/QS,512,IT.AF.FRW,Framework EAI
studienverlauf.ui.qs,QS-APP/UI,1880,IT.TA.KMEL,Studienverlauf
stax2-api,EXTERNAL,109,Unbekannt,Unbekannt
da-isd.biz.qs,QS-APP/BIZ,1457,IT.TA.WAVE,DA Infrastrukturdaten (ISD)
korrespondenz.ext.outbound.qs,QS-APP/EXT-OUTBOUND,1430,IT.BA.DOC,Kiss24-TKeasy
leistungen-basis.ui.impl,DEV-APP/UI/COMPONENT,1171,IT.TA.LEBQ,Leistungen-Basis
tk-vorsorge-planer.ui.qs,QS-APP/UI,1848,IT.TA.LEVE,TK-Vorsorgeplaner
leistung-services.kfo.biz.api,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG-BASIS,802,IT.TA.LEBQ,Leistung-Services
chroniker.biz.qs,QS-APP/BIZ,1624,IT.TA.LEBQ,Chronikerdaten
kinderkrankengeld.biz.api,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG,930,IT.TA.GL,Kinderkrankengeld (KKG)
com.sun.mail.jakarta.mail,EXTERNAL,184,Unbekannt,Unbekannt
arzneimittelverzeichnis.biz.api,DEV-APP/BIZ/STAMMDATEN/VERZEICHNIS,706,IT.TA.WAVE,Arzneimittelverzeichnis
leistung-uebergreifend.biz.qs,QS-APP/BIZ,1608,IT.TA.LEBQ,Leistungen-Basis
meinetk.ext.outbound.qs,QS-APP/EXT-OUTBOUND,1440,IT.ON.ONB1,MeineTK
geschaeftspartner-application.ui,DEV-APP/UI/APPLICATION,1199,IT.TA.KEGK,Geschaeftspartner
diga.biz,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG,896,IT.TA.ZED,Digitale Gesundheitsanwendung
com.twelvemonkeys.common.common-lang,EXTERNAL,72,Unbekannt,Unbekannt
tk.sys.biz,DEV-FRAMEWORK/SERVER,367,IT.AF.FRW,Framework Server
betriebsnummernverzeichnis-components.ui,DEV-APP/UI/COMPONENT,1130,IT.TA.WAVE,Betriebsnummern-Verzeichnis
hibernate-validator,EXTERNAL,160,Unbekannt,Unbekannt
mitteilungsmanagement.biz,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG-UEBERGREIFEND,992,IT.TA.GL,Mitteilungsmanagement
uicomponents.ui,DEV-APP/UI/COMPONENT,1101,IT.AF.FRW,UI-Components
viewagent.imageviewer,DEV-FRAMEWORK/TOOL,472,IT.AF.FRW,Framework GUI
arbeitgeberbestandsfuehrung.biz.api,DEV-APP/BIZ/STAMMDATEN/INSTITUTIONEN,698,IT.TA.KEGK,Arbeitgeberbestandsfuehrung
de.kwsoft.mtext.api,EXTERNAL,202,Unbekannt,Unbekannt
gutachterverzeichnis.biz.qs,QS-APP/BIZ,1542,IT.TA.WAVE,Gutachter-Verzeichnis
melderegisterabgleich.biz.api,DEV-APP/BIZ/STAMMDATEN/PRIVATKUNDE,716,IT.TA.KEGK,Melderegisterabgleich
com.twelvemonkeys.imageio.imageio-jpeg,EXTERNAL,74,Unbekannt,Unbekannt
tk.sys.server.jmx,DEV-FRAMEWORK/SERVER,352,IT.AF.FRW,Framework Server
da-md-au.biz.qs,QS-APP/BIZ,1612,IT.TA.GL,Datenaustausch MD AU
zahnersatz.biz.qs,QS-APP/BIZ,1626,IT.TA.ZED,Zahnersatz
kassenwechselmeldungen.biz.api,DEV-APP/BIZ/PROZESSDATEN/MELDEVERFAHREN,774,IT.TA.KMEL,Kassenwechselmeldungen
commons-net-ftp,EXTERNAL,79,Unbekannt,Unbekannt
kinderkrankengeld.proc,DEV-APP/BIZ/GESCHAEFTSPROZESS,1054,IT.TA.GL,Kinderkrankengeld (KKG)
api-management-beispiel.ext.inbound,DEV-APP/EXTERN/INBOUND/BSPL,1098,IT.AF.PEP,API-Management-Beispiel
gesundheitskarte.ext.outbound.qs,QS-APP/EXT-OUTBOUND,1426,IT.TA.KEGK,Gesundheitskarte (eGK)
da-aerzte-asv.biz.qs,QS-APP/BIZ,1640,IT.TA.LEVE,DA Ambulante spezialfachaerztliche Versorgung
geschaeftspartner.biz.qs,QS-APP/BIZ-TOP,1747,IT.TA.KEGK,Geschaeftspartner
haertefall.proc.qs,QS-APP/BIZ-TOP,1750,IT.TA.LEBQ,Haertefall - Belastungsgrenze
ik-inhaber-verzeichnis.ui,DEV-APP/UI/APPLICATION,1267,IT.TA.KEGK,Geschaeftspartner
rechnungswesen.ui.qs,QS-APP/UI,1798,IT.TA.BCRM,"TKeasy-Rechnungswesen (Vorbeleg, GP-Konto, Forderungsrealisierung)"
crmbasis.biz.qs,QS-APP/BIZ,1622,IT.TA.BCRM,CRM
eel.proc,DEV-APP/BIZ/GESCHAEFTSPROZESS,1049,IT.TA.GL,Entgeltersatzleistungen
psychotherapie.ui.qs,QS-APP/UI,1893,IT.TA.LEBQ,Psychotherapie
tracking-components.ui,DEV-APP/UI/COMPONENT,1179,IT.TA.BCRM,Vorgangstracking
rente.biz.api,DEV-APP/BIZ/PROZESSDATEN/MELDEVERFAHREN,777,IT.TA.KMEL,Rente
tk.sys.eai.adapter.base.webservice.qs,QS-FRAMEWORK/QS,501,IT.AF.FRW,Framework EAI
api-management-beispiel.biz.impl,DEV-APP/BIZ/BSPL,1022,IT.AF.PEP,API-Management-Beispiel
tk.sys.eai.adapter.base.webservice,DEV-FRAMEWORK/EAI,389,IT.AF.FRW,Framework EAI
diga.ui.qs,QS-APP/UI,1772,IT.TA.ZED,Digitale Gesundheitsanwendung
vorgang-querschnittssysteme.biz.api,DEV-APP/BIZ/BASIS/INTERAKTION,641,IT.AF.PIM,Vorgangssystem
tk.sys.eai.transport.aq,DEV-FRAMEWORK/EAI,387,IT.AF.FRW,Framework EAI
beitrag.biz,DEV-APP/BIZ/BASIS/FINANZEN,681,IT.TA.BCRM,"Beitragssaetze, Rechengroessen"
uvtraeger.biz.qs,QS-APP/BIZ,1558,IT.TA.LEBQ,Unfall
kassenwechselmeldungen.biz.impl,DEV-APP/BIZ/PROZESSDATEN/MELDEVERFAHREN,779,IT.TA.KMEL,Kassenwechselmeldungen
com.twelvemonkeys.imageio.imageio-core,EXTERNAL,73,Unbekannt,Unbekannt
konfigurierbare-leistung.biz,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG,885,IT.TA.LEBQ,Konfigurierbare Leistung
organisationsverwaltung.ui.qs,QS-APP/UI,1768,IT.AF.PIM,Organisations-Verwaltung
net.sf.ucanaccess,EXTERNAL,127,Unbekannt,Unbekannt
eessi-institution.ui,DEV-APP/UI/APPLICATION,1227,IT.TA.ZED,Elektronischer Austausch von Sozialversicherungsdaten (EESSI)
tk.sys.gui.charts,DEV-FRAMEWORK/GUI-CORE,432,IT.AF.FRW,Framework GUI
org.glassfish.hk2.osgi-resource-locator,EXTERNAL/RUNTIME,298,Unbekannt,Unbekannt
arbeitsunfaehigkeit.proc.qs,QS-APP/BIZ-TOP,1737,IT.TA.GL,Arbeitsunfaehigkeit
kassenwechsel-leistungsdaten.biz.api,DEV-APP/BIZ/PROZESSDATEN/MELDEVERFAHREN,772,IT.TA.LEVE,Kassenwechsel-Leistungsdaten
krebsregister-abrechnung.biz,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG,974,IT.TA.LEVE,Krebsregister
ca.uhn.hapi.fhir.hapi-fhir-structures-r4,EXTERNAL/HAPI-FHIR,238,Unbekannt,Unbekannt
ca.uhn.hapi.fhir.hapi-fhir-structures-r5,EXTERNAL/HAPI-FHIR,239,Unbekannt,Unbekannt
microservice-pilot.ui.impl,DEV-APP/UI/APPLICATION,1378,IT.AF.FRW,Microservice Pilot
au-steuerung.ui.impl,DEV-APP/UI/APPLICATION,1348,IT.TA.GL,Arbeitsunfaehigkeit-Steuerung
tk.sys.eai.transport.db,DEV-FRAMEWORK/EAI,386,IT.AF.FRW,Framework EAI
da-aerzte-asv.ui,DEV-APP/UI/APPLICATION,1359,IT.TA.LEVE,DA Ambulante spezialfachaerztliche Versorgung
arbeitsagentur.biz,DEV-APP/BIZ/STAMMDATEN/INSTITUTIONEN,692,IT.TA.WAVE,Betriebsnummern-Verzeichnis
slf4j-api,EXTERNAL,173,Unbekannt,Unbekannt
gerichtsverzeichnis.biz.impl,DEV-APP/BIZ/STAMMDATEN/INSTITUTIONEN,695,IT.TA.WAVE,Gerichtsverzeichnis
tk.sys.error,DEV-FRAMEWORK/CORE,317,IT.AF.FRW,Framework Server
tim.biz.impl,DEV-APP/BIZ/PROZESSDATEN/SERVICE,999,IT.AF.PIM,TI-Messenger-Adapter
tk.sys.eai.adapter.exchange.qs,QS-FRAMEWORK/BASE,488,IT.AF.FRW,Framework EAI
oracle-schema-reader,EXTERNAL,61,Unbekannt,Unbekannt
tk.sys.persistence,DEV-FRAMEWORK/SERVER,362,IT.AF.FRW,Framework Persistenz
fileimportexport.util.impl.qs,QS-TYPE,1413,IT.TA.LEBQ,Leistungen-Basis
kostenerstattungswahl.biz.qs,QS-APP/BIZ,1504,IT.TA.LEBQ,Wahl der Kostenerstattung
duebak-meldungen.biz.api,DEV-APP/BIZ/PROZESSDATEN/MELDEVERFAHREN,780,IT.TA.KMEL,Datenuebermittlung BA - DÜBAK
tk.sys.eai.adapter.queueinbox.qs,QS-FRAMEWORK/BASE,486,IT.AF.FRW,Framework EAI
melderegisterabgleich.ui.impl,DEV-APP/UI/APPLICATION,1184,IT.TA.KEGK,Melderegisterabgleich
org.apache.httpcomponents.httpmime,EXTERNAL,136,Unbekannt,Unbekannt
org.eclipse.core.contenttype,EXTERNAL,139,Unbekannt,Unbekannt
junit-platform-engine,EXTERNAL/JUNIT-JUPITER,272,Unbekannt,Unbekannt
leistungsrueckforderung.type,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG-BASIS,822,IT.TA.WAVE,Pruefung der Leistungspflicht - PLP
com.oracle.database.jdbc.ucp17,EXTERNAL,54,Unbekannt,Unbekannt
personalisierte-secpruefung.biz.api,DEV-APP/BIZ/VERZEICHNIS,610,IT.AF.PIM,Dokumentenarchiv und Dokumentenaufnahme
everordnungmanager.ext.outbound,DEV-APP/EXT-OUTBOUND,596,IT.AF.PIM,eVerordnung Manager
da-aerzte-hzv.biz,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG,969,IT.TA.LEVE,DA Hausarztzentrierte Versorgung
tk.tool.inspector,DEV-FRAMEWORK/TOOL-INSPECTOR,476,IT.AF.FRW,Framework Persistenz
gesundheitsdividende.proc,DEV-APP/BIZ/GESCHAEFTSPROZESS,1061,IT.TA.BCRM,Gesundheitsdividende
tkkonto.ui,DEV-APP/UI/COMPONENT,1176,IT.TA.BCRM,TK-Konto (TKeasy-GUI  Schriftgut)
tk.sys.boi,DEV-FRAMEWORK/SERVER,358,IT.AF.FRW,Framework Server
vorgang-intern.biz,DEV-APP/BIZ/UEBERGREIFEND,1017,IT.AF.PIM,Vorgangssystem
uvtraeger.ui.qs,QS-APP/UI,1920,IT.TA.LEBQ,Unfall
abr-sonst-leistungserbringer.ext.outbound.qs,QS-APP/EXT-OUTBOUND,1425,IT.TA.LEVE,Abrechnungsmanagement Sonstige Leistungserbringer
pflegeperson.proc,DEV-APP/BIZ/GESCHAEFTSPROZESS,1055,IT.TA.PV,Pflegeperson
leistungsrueckforderung.biz,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG-UEBERGREIFEND,982,IT.TA.WAVE,Pruefung der Leistungspflicht - PLP
haushaltshilfe.biz.qs,QS-APP/BIZ,1505,IT.TA.GL,Haushaltshilfe
sozialausgleich-meldungen.ui,DEV-APP/UI/APPLICATION,1219,IT.TA.KMEL,BBG-Meldungen
com.oracle.database.ons,EXTERNAL,50,Unbekannt,Unbekannt
bankverzeichnis.biz,DEV-APP/BIZ/VERZEICHNIS,619,IT.TA.BCRM,"TKeasy-Rechnungswesen (Vorbeleg, GP-Konto, Forderungsrealisierung)"
